"";"x"
"1";"multinube"
"2";"cieloDespejado"
"3";"multinube"
"4";"cieloDespejado"
"5";"multinube"
"6";"cieloDespejado"
"7";"cieloDespejado"
"8";"cieloDespejado"
"9";"cieloDespejado"
"10";"cieloDespejado"
"11";"cieloDespejado"
"12";"cieloDespejado"
"13";"cieloDespejado"
"14";"cieloDespejado"
"15";"cieloDespejado"
"16";"cieloDespejado"
"17";"cieloDespejado"
"18";"cieloDespejado"
"19";"cieloDespejado"
"20";"cieloDespejado"
"21";"cieloDespejado"
"22";"cieloDespejado"
"23";"cieloDespejado"
"24";"cieloDespejado"
"25";"cieloDespejado"
"26";"cieloDespejado"
"27";"cieloDespejado"
"28";"cieloDespejado"
"29";"multinube"
"30";"nube"
"31";"cieloDespejado"
"32";"cieloDespejado"
"33";"cieloDespejado"
"34";"cieloDespejado"
"35";"cieloDespejado"
"36";"multinube"
"37";"multinube"
"38";"cieloDespejado"
"39";"cieloDespejado"
"40";"cieloDespejado"
"41";"cieloDespejado"
"42";"cieloDespejado"
"43";"cieloDespejado"
"44";"cieloDespejado"
"45";"cieloDespejado"
"46";"nube"
"47";"cieloDespejado"
"48";"cieloDespejado"
"49";"cieloDespejado"
"50";"cieloDespejado"
"51";"cieloDespejado"
"52";"cieloDespejado"
"53";"cieloDespejado"
"54";"cieloDespejado"
"55";"cieloDespejado"
"56";"multinube"
"57";"nube"
"58";"cieloDespejado"
"59";"cieloDespejado"
"60";"cieloDespejado"
"61";"cieloDespejado"
"62";"cieloDespejado"
"63";"cieloDespejado"
"64";"cieloDespejado"
"65";"cieloDespejado"
"66";"cieloDespejado"
"67";"cieloDespejado"
"68";"multinube"
"69";"cieloDespejado"
"70";"cieloDespejado"
"71";"multinube"
"72";"multinube"
"73";"nube"
"74";"cieloDespejado"
"75";"multinube"
"76";"cieloDespejado"
"77";"cieloDespejado"
"78";"cieloDespejado"
"79";"multinube"
"80";"cieloDespejado"
"81";"cieloDespejado"
"82";"cieloDespejado"
"83";"cieloDespejado"
"84";"cieloDespejado"
"85";"cieloDespejado"
"86";"cieloDespejado"
"87";"cieloDespejado"
"88";"cieloDespejado"
"89";"cieloDespejado"
"90";"nube"
"91";"multinube"
"92";"cieloDespejado"
"93";"multinube"
"94";"cieloDespejado"
"95";"cieloDespejado"
"96";"nube"
"97";"nube"
"98";"multinube"
"99";"cieloDespejado"
"100";"cieloDespejado"
"101";"cieloDespejado"
"102";"cieloDespejado"
"103";"cieloDespejado"
"104";"cieloDespejado"
"105";"cieloDespejado"
"106";"multinube"
"107";"cieloDespejado"
"108";"cieloDespejado"
"109";"multinube"
"110";"cieloDespejado"
"111";"cieloDespejado"
"112";"cieloDespejado"
"113";"cieloDespejado"
"114";"cieloDespejado"
"115";"cieloDespejado"
"116";"cieloDespejado"
"117";"cieloDespejado"
"118";"cieloDespejado"
"119";"cieloDespejado"
"120";"nube"
"121";"cieloDespejado"
"122";"cieloDespejado"
"123";"cieloDespejado"
"124";"cieloDespejado"
"125";"cieloDespejado"
"126";"cieloDespejado"
"127";"nube"
"128";"cieloDespejado"
"129";"nube"
"130";"cieloDespejado"
"131";"multinube"
"132";"cieloDespejado"
"133";"cieloDespejado"
"134";"cieloDespejado"
"135";"cieloDespejado"
"136";"cieloDespejado"
