@relation P2Mario-data-training-Bot

@attribute isEnemy {right, up, left, none}
@attribute isCoinMushroom {right, up, left, none}
@attribute isBlocked {true, false}
@attribute isOnGround {true, false}
@attribute jumped {true, false}
@attribute distancePassedPhys NUMERIC
@attribute marioStatus NUMERIC
@attribute coinsGained NUMERIC
@attribute mushroomsDevoured NUMERIC
@attribute killsByStomp NUMERIC
@attribute action {right, left, jump, jump_right, jump_left, still}
@attribute reward NUMERIC
@attribute situation {enemy_right_ground, enemy_right_ground_jumped, enemy_right_air, enemy_left, enemy_up, coin_mushroom_right, coin_mushroom_left, coin_mushroom_up, blocked_ground, blocked_ground_jumped, blocked_air, normal}
@attribute situation_+12 {enemy_right_ground, enemy_right_ground_jumped, enemy_right_air, enemy_left, enemy_up, coin_mushroom_right, coin_mushroom_left, coin_mushroom_up, blocked_ground, blocked_ground_jumped, blocked_air, normal}

@data
none,none,false,false,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,false,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,false,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,false,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,false,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,false,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,false,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,false,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,false,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,false,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,false,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,false,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,false,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,false,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,false,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,jump,0.0,normal,normal
none,none,false,true,true,0,0,0,0,0,jump,0.0,normal,normal
none,none,false,true,true,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,jump,0.0,normal,normal
none,none,false,false,true,0,0,0,0,0,still,0.0,normal,normal
none,none,false,false,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,false,false,0,0,0,0,0,jump,0.0,normal,normal
none,none,false,false,true,0,0,0,0,0,jump,0.0,normal,normal
none,none,false,false,true,0,0,0,0,0,still,0.0,normal,normal
none,none,false,false,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,false,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,false,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,enemy_right_ground
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,enemy_right_ground
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,enemy_right_ground
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,enemy_right_ground
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,enemy_right_ground
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,enemy_right_ground
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,enemy_right_ground
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,enemy_right_ground
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,enemy_right_ground
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,enemy_right_ground
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,enemy_right_ground
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,enemy_right_ground
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
none,none,false,true,false,0,0,0,0,0,still,0.0,normal,normal
