@relation P2Mario-data-training-Bot

@attribute isEnemy {right, up, left, none}
@attribute isCoinMushroom {right, up, left, none}
@attribute isBlocked {true, false}
@attribute isOnGround {true, false}
@attribute jumped {true, false}
@attribute distancePassedPhys NUMERIC
@attribute marioStatus NUMERIC
@attribute coinsGained NUMERIC
@attribute mushroomsDevoured NUMERIC
@attribute killsByStomp NUMERIC
@attribute action {right, left, jump, jump_right, jump_left, still}
@attribute reward NUMERIC
@attribute situation {enemy_right_ground, enemy_right_ground_jumped, enemy_right_air, enemy_left, enemy_up, coin_mushroom_right, coin_mushroom_left, coin_mushroom_up, blocked_ground, blocked_ground_jumped, blocked_air, normal}
@attribute situation_+12 {enemy_right_ground, enemy_right_ground_jumped, enemy_right_air, enemy_left, enemy_up, coin_mushroom_right, coin_mushroom_left, coin_mushroom_up, blocked_ground, blocked_ground_jumped, blocked_air, normal}

@data
none,left,false,false,true,27,0,4,0,0,right,145.5,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,22,0,2,0,0,still,77.0,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,18,0,2,0,0,still,75.0,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,14,0,2,0,0,still,73.0,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,10,0,2,0,0,still,71.0,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,7,0,0,0,0,still,3.5,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,5,0,0,0,0,still,2.5,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,2,0,0,0,0,still,1.0,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,3,0,0,0,0,still,1.5,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,4,0,0,0,0,still,2.0,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,5,0,0,0,0,still,2.5,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,5,0,0,0,0,still,2.5,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,6,0,0,0,0,still,3.0,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,6,0,0,0,0,still,3.0,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,6,0,0,0,0,still,3.0,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,6,0,0,0,0,still,3.0,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,6,0,0,0,0,right,3.0,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,6,0,0,0,0,right,3.0,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,5,0,0,0,0,still,2.5,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,4,0,0,0,0,still,2.0,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,3,0,0,0,0,still,1.5,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,2,0,0,0,0,still,1.0,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,1,0,0,0,0,still,0.5,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,1,0,0,0,0,still,0.5,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,0,0,0,0,0,still,0.0,coin_mushroom_left,coin_mushroom_left
none,left,false,true,false,0,0,0,0,0,still,0.0,coin_mushroom_left,coin_mushroom_left
